food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R211-043013901-5935,넙치류_넙치(광어)_전체_생것_수입(미국)_평균,R,원재료성 식품,100.0,116,1.81,20.53,2.92,,0.73,,79.0,72.0,0.0,,0.0,,20.0,0.27
R211-043013901-5155,넙치류_넙치(광어)_전체_생것_수입(그린란드)_평균,R,원재료성 식품,100.0,186,0.0,14.37,13.84,,2.42,,80.0,46.0,0.0,,0.0,1097.0,3.0,0.66
R211-043013999-5935,넙치류_넙치(광어)_전체_조리예에 따라 조리한것_수입_평균,R,원재료성 식품,100.0,113,0.0,22.13,2.73,,0.5,,86.0,75.0,0.0,,,,33.0,0.36
R211-043034301-0000,넙치류_킹넙치_알_생것_대표_평균,R,원재료성 식품,100.0,41,0.88,6.44,1.09,,,,,,,,,,,
R211-045014001-5927,노래미류_노래미_육_생것_수입_5월,R,원재료성 식품,100.0,89,0.8,17.5,1.3,0.8,0.91,,,,0.0,8.0,1.0,,42.0,2.86
R211-045034001-1199,노래미류_줄노래미_육_생것_부산_4월,R,원재료성 식품,100.0,85,0.0,17.5,1.2,0.0,,,,,0.0,9.0,0.0,,67.0,1.8
R211-045054001-1370,노래미류_쥐노래미_육_생것_포항_6월,R,원재료성 식품,100.0,119,0.52,20.98,3.0,0.52,0.99,,,,0.0,6.0,1.0,,26.0,0.34
R211-047014001-1202,놀래기류_놀래기_육_생것_부산_7월,R,원재료성 식품,100.0,107,0.0,19.2,2.8,0.0,,,,,0.0,14.0,0.0,,34.0,1.1
R211-047034001-1199,놀래기류_사당놀래기_육_생것_부산_4월,R,원재료성 식품,100.0,104,0.0,20.3,1.9,0.0,,,,,0.0,,0.0,,35.0,1.5
R211-047054001-0759,놀래기류_용치놀래기_육_생것_여수_6월,R,원재료성 식품,100.0,85,0.44,19.26,0.2,0.44,,,,,0.0,,1.0,,37.0,2.56
R211-047074001-1199,놀래기류_황놀래기_육_생것_부산_4월,R,원재료성 식품,100.0,98,0.1,18.9,1.9,0.1,,,,,0.0,,1.0,,34.0,1.1
R211-049014050-0000,농어류_농어_육_구운것_대표_평균,R,원재료성 식품,100.0,138,0.0,23.63,2.56,,0.66,,87.0,,0.0,64.0,0.0,,13.0,0.37
R211-049014001-0004,농어류_농어_육_생것_대표_4월,R,원재료성 식품,100.0,92,0.0,19.42,1.09,,,,,,,,,,,
R211-049014001-0757,농어류_농어_육_생것_여수_4월,R,원재료성 식품,100.0,106,0.0,20.04,2.25,,0.51,,81.0,42.01,,27.0,,,13.0,0.34
R211-049014001-1052,농어류_농어_육_생것_충무_평균,R,원재료성 식품,100.0,96,0.2,18.2,1.9,0.2,,,,,0.0,,1.0,,58.0,1.5
R211-049074001-0757,농어류_벌레문치_육_생것_여수_4월,R,원재료성 식품,100.0,66,2.91,10.75,0.88,,,,,,,,,,,
R211-049074001-1226,농어류_벌레문치_육_생것_영덕_5월,R,원재료성 식품,100.0,88,0.7,15.8,2.0,,,,,,,,,,10.0,0.0
R211-049054001-0759,농어류_점농어_육_생것_여수_6월,R,원재료성 식품,100.0,129,0.4,18.5,5.2,0.4,,,,,0.0,,,,69.0,0.66
R211-051014001-1202,누치_육_생것_부산_7월,R,원재료성 식품,100.0,105,0.8,17.3,3.0,0.8,,,,,0.0,,2.0,,29.0,1.0
R211-053014001-0894,눈볼대_육_생것_남해_11월,R,원재료성 식품,100.0,248,0.86,16.9,18.38,,4.83,0.02,56.0,33.05,,257.0,,,8.0,0.18
R211-053014001-0011,눈볼대_육_생것_대표_11월,R,원재료성 식품,100.0,210,7.25,16.9,11.57,,,,,,,,,,,
R211-053014001-0005,눈볼대_육_생것_대표_5월,R,원재료성 식품,100.0,216,0.0,17.57,15.09,,,,,,,,,,,
R211-053014001-1200,눈볼대_육_생것_부산_5월,R,원재료성 식품,100.0,144,0.02,22.3,5.3,0.02,,,,,0.0,,1.0,,29.0,0.34
R211-053014001-0757,눈볼대_육_생것_여수_4월,R,원재료성 식품,100.0,110,0.0,18.5,3.41,,,,,,,,,,,
R211-055014037-0000,눈퉁멸_육_말린것(포)_대표_평균,R,원재료성 식품,100.0,382,11.1,58.6,5.4,,,,,,,,,,108.0,29.4
R211-055014001-1200,눈퉁멸_육_생것_부산_5월,R,원재료성 식품,100.0,138,0.44,18.5,6.2,0.44,,,,,0.0,,1.0,,55.0,1.49
R211-057014001-1202,능성어_육_생것_부산_7월,R,원재료성 식품,100.0,93,0.3,18.8,1.3,0.3,,,,,0.0,,1.0,,29.0,1.0
R211-059014029-0000,다랑어류_가다랑어_육_기름담금 통조림_대표_평균,R,원재료성 식품,100.0,205,0.0,22.31,10.6,0.0,0.88,0.06,157.0,,0.0,4.0,0.34,6.3,8.0,0.9
R211-059014029-5928,다랑어류_가다랑어_육_기름담금 통조림_수입_6월,R,원재료성 식품,100.0,209,1.7,20.0,293.9,0.3,,,,,,,,,,46.0
R211-059014033-5928,다랑어류_가다랑어_육_레토르트_수입_6월,R,원재료성 식품,100.0,175,7.5,12.4,9.9,,,,,,,,,,14.0,2.3
R211-059014037-5928,다랑어류_가다랑어_육_말린것(포)_수입_6월,R,원재료성 식품,100.0,372,1.6,69.3,7.7,1.6,,,,,0.0,,,,16.0,1.6
R211-059014001-1197,다랑어류_가다랑어_육_생것_부산_2월,R,원재료성 식품,100.0,127,0.3,25.9,1.8,0.3,0.3,,,,0.0,12.0,1.0,,15.0,1.8
R211-059034029-5928,다랑어류_날개다랑어_육_기름담금 통조림_수입_6월,R,원재료성 식품,100.0,206,1.2,17.6,13.5,,,,,,,,,,30.0,2.7
R211-059074050-0000,다랑어류_참다랑어_육_구운것_대표_평균,R,원재료성 식품,100.0,204,0.0,29.91,6.28,,1.61,,50.0,,0.0,757.0,0.0,,10.0,1.31
R211-059074001-0000,다랑어류_참다랑어_육_생것_대표_평균,R,원재료성 식품,100.0,196,0.0,23.99,8.09,,3.05,0.14,62.0,,0.0,,0.0,0.0,27.0,1.98
R211-059074001-1197,다랑어류_참다랑어_육_생것_부산_2월,R,원재료성 식품,100.0,132,0.1,27.2,1.8,0.1,,,,,0.0,,2.0,,11.0,2.3
R211-059094050-7079,다랑어류_황다랑어_육_구운것_수입_평균,R,원재료성 식품,100.0,142,0.0,32.0,1.4,,0.33,,51.0,62.0,0.0,21.0,1.0,2.3,22.0,1.0
